"# Per-task TravelPlanner constraint-satisfaction rate in [0,1] = (commonsense_micro_pass + hard_micro_pass)/2."
# Lower section: per-stratum (days x level) mean. Bottom: TOTAL = mean over 100 tasks.
task_id,days,level,react_injected,codeact_injected,atlas_injected,sca
4,3,easy,0.0000,0.1250,0.6250,0.9375
14,3,easy,0.1250,0.1875,0.0625,0.3750
15,3,easy,0.1875,0.3750,0.7500,0.8125
18,3,easy,0.0625,0.0625,0.0625,0.3750
29,3,easy,0.0625,0.2500,0.0625,0.3125
32,3,easy,0.8750,0.8125,0.4375,1.0000
36,3,easy,0.0000,0.1250,0.0625,0.7500
70,3,easy,0.0625,0.3125,0.0625,0.1250
82,3,easy,0.0625,0.1250,0.3125,0.0625
87,3,easy,0.1250,0.0000,0.3750,0.2500
95,3,easy,0.1250,0.3750,0.8125,0.5625
115,3,easy,0.8750,0.6875,0.6875,1.0000
134,5,easy,0.4375,0.1250,0.1250,0.3125
136,5,easy,0.0000,0.0000,0.0000,0.1250
142,5,easy,0.0625,0.3750,0.2500,0.5000
143,5,easy,0.0625,0.0000,0.0000,0.0000
150,5,easy,0.2500,0.3750,0.6875,0.5625
158,5,easy,0.0000,0.0000,0.0000,0.1875
166,5,easy,0.0000,0.0000,0.0000,0.0625
171,5,easy,0.0625,0.0625,0.0625,0.0000
177,5,easy,0.3125,0.2500,0.3125,0.1250
212,5,easy,0.0625,0.0000,0.0625,0.1875
220,5,easy,0.0000,0.2500,0.6875,0.9375
226,5,easy,0.9375,0.8125,0.4375,0.8750
244,7,easy,0.0625,0.1250,0.0625,0.3125
247,7,easy,0.5625,0.1875,0.1250,0.2500
249,7,easy,0.0625,0.1250,0.5625,0.1250
251,7,easy,0.0625,0.7500,0.1875,0.8125
263,7,easy,0.1875,0.6250,0.1250,0.4375
268,7,easy,0.0000,0.1875,0.1250,0.9375
276,7,easy,0.1250,0.0625,0.0625,0.1875
323,7,easy,0.0000,0.0625,0.0625,0.0000
329,7,easy,0.0000,0.0000,0.0000,0.1250
337,7,easy,0.1250,0.1875,0.3750,0.9375
348,7,easy,0.0000,0.1250,0.1875,0.3125
352,3,medium,0.0625,0.0625,0.0000,0.2917
353,3,medium,0.3542,0.6458,0.8125,0.6042
360,3,medium,0.2917,0.2292,0.3125,0.4167
376,3,medium,0.4167,0.6042,0.7708,0.3750
378,3,medium,0.2500,0.1667,0.4583,0.5208
403,3,medium,0.0000,0.0000,0.1667,0.0625
413,3,medium,0.0000,0.1875,0.1250,0.2917
420,3,medium,0.0000,0.0000,0.4167,0.4583
424,3,medium,0.4792,0.3542,0.4583,0.4792
426,3,medium,0.3958,0.5833,0.1250,0.7083
458,5,medium,0.2292,0.0000,0.3542,0.4583
465,5,medium,0.5833,0.2917,0.4167,0.5417
468,5,medium,0.0000,0.0000,0.1667,0.1250
486,5,medium,0.0000,0.0000,0.0625,0.1250
497,5,medium,0.0000,0.0000,0.0000,0.0000
498,5,medium,0.2917,0.0000,0.0000,0.4167
511,5,medium,0.0625,0.1667,0.0000,0.0625
521,5,medium,0.1667,0.0000,0.3333,0.2917
530,5,medium,0.7083,0.6250,0.8125,1.0000
546,5,medium,0.2917,0.7500,0.3542,0.7083
556,5,medium,0.0000,0.0000,0.0625,0.1250
561,5,medium,0.0000,0.0000,0.2292,0.3542
587,7,medium,0.1250,0.2292,0.3542,0.7083
593,7,medium,0.8750,0.7083,0.9375,0.6667
602,7,medium,0.2917,0.0000,0.1250,0.4792
612,7,medium,0.0000,0.0000,0.0000,0.5208
613,7,medium,0.3542,0.6458,0.7708,0.7083
614,7,medium,0.3542,0.0625,0.1250,0.3958
615,7,medium,0.1875,0.0625,0.1667,0.2500
625,7,medium,0.0000,0.1667,0.0625,0.0625
648,7,medium,0.5208,0.5833,1.0000,1.0000
652,7,medium,0.0625,0.0625,0.1250,0.0625
673,7,medium,0.0000,0.1250,0.1250,0.0625
682,3,hard,0.5625,0.1250,0.6875,0.8125
707,3,hard,0.1250,0.0625,0.0625,0.3125
710,3,hard,0.0625,0.0000,0.1875,0.1250
717,3,hard,0.0625,0.0000,0.1875,0.1250
735,3,hard,0.0625,0.0000,0.0000,0.0625
739,3,hard,0.0625,0.1250,0.0625,0.2500
751,3,hard,0.1250,0.0000,0.1250,0.5000
757,3,hard,0.1250,0.2500,0.3125,0.3125
774,5,hard,0.1875,0.0000,0.0625,0.1875
801,5,hard,0.1250,0.1250,0.4375,0.7500
810,5,hard,0.0000,0.0000,0.1875,0.1875
812,5,hard,0.0000,0.0000,0.0000,0.0625
834,5,hard,0.0000,0.1250,0.3125,0.1875
837,5,hard,0.3125,0.3125,0.2500,0.3125
843,5,hard,0.0000,0.0000,0.0000,0.1875
844,5,hard,0.1875,0.1875,0.4375,0.1875
870,5,hard,0.3125,0.0000,0.1250,0.5625
874,5,hard,0.0000,0.0625,0.1250,0.1875
877,5,hard,0.1250,0.3125,0.0625,0.6875
882,5,hard,0.0625,0.0000,0.0000,0.0000
894,7,hard,0.2500,0.0000,0.1250,0.0625
905,7,hard,0.1875,0.2500,0.3125,0.2500
906,7,hard,0.0000,0.0000,0.0000,0.0000
916,7,hard,0.1250,0.0000,0.2500,0.1875
919,7,hard,0.0000,0.1875,0.1250,0.5000
953,7,hard,0.0000,0.0000,0.0000,0.3125
962,7,hard,0.1250,0.2500,0.1875,0.2500
966,7,hard,0.0000,0.0000,0.1250,0.1250
967,7,hard,0.0625,0.0625,0.1875,0.1875
972,7,hard,0.0000,0.0625,0.1250,0.2500
974,7,hard,0.2500,0.1875,0.2500,0.6250
978,7,hard,0.0625,0.0000,0.0000,0.3125

days=3_level=easy,12,—,0.2135,0.2865,0.3594,0.5469
days=3_level=hard,8,—,0.1484,0.0703,0.2031,0.3125
days=3_level=medium,10,—,0.2250,0.2833,0.3646,0.4208
days=5_level=easy,12,—,0.1823,0.1875,0.2188,0.3229
days=5_level=hard,12,—,0.1094,0.0938,0.1667,0.2917
days=5_level=medium,12,—,0.1945,0.1528,0.2326,0.3507
days=7_level=easy,11,—,0.1080,0.2216,0.1705,0.4034
days=7_level=hard,12,—,0.0885,0.0833,0.1406,0.2552
days=7_level=medium,11,—,0.2519,0.2405,0.3447,0.4470

TOTAL,100,—,0.1685,0.1813,0.2435,0.3727
TOTAL_PCT,100,—,16.85%,18.13%,24.35%,37.27%
